name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus
Alexander Volkov,100,0,0,0,0,0,0,44,25
Alistair Overeem,1900,720,320,75,0,50,400,649,250
Augusto Sakai,0,0,0,0,0,0,25,7,25
Walt Harris,0,0,0,0,0,0,25,0,25
Jairzinho Rozenstruik,100,0,0,0,0,0,0,15,25
Aleksei Oleinik,0,0,0,0,0,0,25,9,25
Sergei Pavlovich,0,0,0,0,0,0,25,0,0
Curtis Blaydes,100,0,0,0,0,0,0,30,0
Francis Ngannou,100,0,0,0,0,0,0,5,0
Fabricio Werdum,0,90,0,0,0,0,50,39,0
Mark Hunt,0,0,0,0,0,0,50,3,0
Stipe Miocic,100,0,0,0,0,0,0,25,25
Andrei Arlovski,0,0,0,0,0,0,25,0,25
Junior Dos Santos,0,0,0,0,0,0,25,0,0
Roy Nelson,0,0,0,0,0,0,25,0,0
Stefan Struve,0,0,0,0,0,0,25,0,0
Ben Rothwell,100,0,0,0,0,0,0,0,0
Frank Mir,0,0,0,0,0,0,25,0,0
Travis Browne,100,0,0,0,0,0,0,0,0
Antonio Silva,100,0,0,0,0,0,0,0,0
Brock Lesnar,0,0,0,0,0,0,25,0,25
Todd Duffee,0,0,0,0,0,0,25,0,0
Brett Rogers,0,0,0,0,0,0,25,0,25
Kazuyuki Fujita,0,0,0,0,0,0,25,0,0
James Thompson,0,0,0,0,0,0,25,0,0
Tony Sylvester,0,0,0,0,0,0,25,0,0
Gary Goodridge,0,0,0,0,0,0,25,0,0
Mirko Filipovic,0,0,0,0,0,50,0,0,0
Tae Hyun Lee,0,0,0,0,0,0,25,0,0
Paul Buentello,0,0,0,0,0,0,25,0,25
Sergei Kharitonov,100,0,0,0,0,0,25,0,0
Michael Knaap,0,0,0,0,0,0,25,0,0
Mauricio Rua,200,0,0,0,0,0,0,8,0
Ricardo Arona,100,0,0,0,0,0,0,3,0
Rogerio Nogueira,100,0,80,0,0,0,0,12,0
Vitor Belfort,0,0,0,0,0,0,50,0,0
Nikolajus Cilkinas,0,0,0,0,0,0,25,0,0
Igor Vovchanchyn,0,0,0,0,0,0,25,0,0
Hiromitsu Kanehara,0,0,0,0,0,0,25,0,0
Tomohiko Hashimoto,0,0,0,0,0,0,25,0,0
Chuck Liddell,100,0,0,0,0,0,0,6,0
Mike Bencic,0,0,0,0,0,0,25,0,0
Bazigit Atajev,0,0,0,0,0,0,25,0,0
Yusuke Imamura,0,0,0,0,0,0,25,0,0
